Ref,Val,Package,PosX,PosY,Rot,Side
"SW18","SW_Push","SW_Choc_1U",90.393343,-136.026090,-12.000000,top
"SW21","SW_Push","SW_Choc_1U",166.750000,-126.900000,12.000000,top
"SW23","SW_Push","SW_Choc_1U",180.933703,-106.511498,12.000000,top
"SW24","SW_Push","SW_Choc_1U",184.450000,-123.150000,12.000000,top
"SW25","SW_Push","SW_Choc_1U",122.135294,-73.254479,-12.000000,top
"SW26","SW_Push","SW_Choc_1U",118.600795,-89.882988,-12.000000,top
"SW27","SW_Push","SW_Choc_1U",115.066297,-106.511498,-12.000000,top
"SW28","SW_Push","SW_Choc_1U",111.531800,-123.140000,-12.000000,top
"SW31","SW_Push","SW_Choc_1U",173.864706,-73.254479,12.000000,top
"SW32","SW_Push","SW_Choc_1U",177.399205,-89.882988,12.000000,top
"SW34","SW_Push","SW_Choc_1U",200.367610,-111.083341,12.000000,top
"SW35","SW_Push","SW_Choc_1U",106.295886,-61.197815,-12.000000,top
"SW36","SW_Push","SW_Choc_1U",102.761388,-77.826324,-12.000000,top
"SW37","SW_Push","SW_Choc_1U",99.226889,-94.454833,-12.000000,top
"SW38","SW_Push","SW_Choc_1U",95.692390,-111.083341,-12.000000,top
"SW41","SW_Push","SW_Choc_1U",189.704114,-61.197815,12.000000,top
"SW42","SW_Push","SW_Choc_1U",193.238612,-77.826324,12.000000,top
"SW43","SW_Push","SW_Choc_1U",196.773111,-94.454833,12.000000,top
"SW45","SW_Push","SW_Choc_1U",90.456479,-49.141149,-12.000000,top
"SW46","SW_Push","SW_Choc_1U",86.921980,-65.769659,-12.000000,top
"SW47","SW_Push","SW_Choc_1U",83.387481,-82.398168,-12.000000,top
"SW48","SW_Push","SW_Choc_1U",79.852983,-99.026677,-12.000000,top
"SW51","SW_Push","SW_Choc_1U",205.543521,-49.141149,12.000000,top
"SW52","SW_Push","SW_Choc_1U",209.078020,-65.769659,12.000000,top
"SW53","SW_Push","SW_Choc_1U",212.612519,-82.398168,12.000000,top
"SW54","SW_Push","SW_Choc_1U",216.147017,-99.026677,12.000000,top
"SW56","SW_Push","SW_Choc_1U",68.431698,-66.184375,-12.000000,top
"SW57","SW_Push","SW_Choc_1U",64.897200,-82.812885,-12.000000,top
"SW58","SW_Push","SW_Choc_1U",61.362701,-99.441394,-12.000000,top
"SW61","SW_Push","SW_Choc_1U",224.033802,-49.555866,12.000000,top
"SW62","SW_Push","SW_Choc_1U",227.568302,-66.184375,12.000000,top
